gene,GSE199460,GSE210776,GSE95401,GSE279183,pooled_mouse
ADAL,-0.9533351681258337,-1.3232028799995552,0.60254107442316,-0.09730998489393454,-0.516235980686953
ADAM10,-0.4464503591231351,0.179810289654061,1.2951937061589813,0.3539742190981497,0.3173245294341653
ADAM15,-0.10604646540253808,0.5543812811710643,0.6578752620147026,0.6800834835406111,0.4007818092916868
ADAM17,-0.6865674731241017,-0.6950500521649924,0.49172210704026265,-0.5168488683488488,-0.27892227893892585
ADAM8,0.7655787587197329,2.679920916811165,0.12345637503692238,0.32205924255486446,1.0232330518311155
ADAMTS13,0.7487591362031275,0.5433204292958695,0.09931951528035188,-0.18203709095994317,0.4380196764390708
ADAMTSL2,-1.7147024677104146,-3.026619244153685,-0.8241371567553541,-0.14661550549663505,-1.6238790905574565
ADAMTSL5,-0.32829312870221644,0.8819808553232,-0.8781318123969464,2.036900729747198,-0.05872924777872232
ADAR,0.4707354644099468,0.5043828857962392,0.22870260571092701,0.1650370312528425,0.39960111817681937
ADAT1,-0.3768470807337938,-0.462816735867464,-0.4336121477706188,-0.8430573865247191,-0.4294089193201598
ADAT2,1.354886042243791,1.5377613995690318,1.3191132328368746,0.44744968315456896,1.4114480389333355
ADCK1,0.7300695545339242,-0.9588417045210796,1.0361477872614788,-0.27550561653529854,0.21087627061555775
ADCK2,0.048868244085216526,-0.16541733866175146,-0.2431532916891339,0.2880989377030171,-0.13313527336079428
ADCK5,1.8003622156569785,-0.33242657503278117,0.45298466625864797,-0.19137535063231742,0.3963316909520199
ADCY9,-0.12223484700725012,-0.27053368630647057,-0.7635832045029425,-1.0897825154929375,-0.3858807065439799
ADCYAP1R1,-0.4227229745575533,-0.3642550195458151,-1.0275734502363623,0.43519646767015097,-0.5840533863556753
ADH5,1.4046758556150072,-0.9016577929713864,1.3906269161872513,0.6831704768634227,0.5330987777598009
ADHFE1,0.1725692431056669,1.8779540630872755,1.1248205576614203,-0.3874339653571488,1.0294425878581648
ADI1,0.07821618682741582,-0.5131344746837421,0.20175988486826774,1.5079028844015192,-0.10342781408814311
ADIPOR1,0.0965148475774988,-0.0576615563969598,0.04345836492160297,1.271252621287128,0.018586096129869365
ADIPOR2,-0.12823889528479948,1.8631000630588754,-0.15185925722978544,0.0026321175758225114,0.4645677403924184
ADK,-0.6035962611469503,-2.4859120287561263,-1.7329171085883965,-1.070914600495715,-1.514289436546164
ADM,3.9698931821119716,1.5996477433451954,0.8879231387099061,0.37482628213912667,1.5514391422532814
ADNP,-0.6847566975073377,-1.2393860691984484,-0.6299338419129242,-0.24395528846593476,-0.8603503908181203
ADNP2,-0.9510184380286738,-1.7305323774582049,0.5616552060370722,0.09628514128674781,-0.6470202013468515
ADO,-0.23671466882288011,-0.20624737318733033,0.057354068067537144,1.3819596588470964,-0.12442618427721976
ADORA2A,0.321392548258985,2.3202274738254194,-1.8900709248857475,0.33902218416203533,0.2507043607052615
ADORA2B,0.21638020039079903,1.6213180477992777,-2.06704737236581,-0.028106456867129516,-0.004812040402247244
ADPGK,0.8696081369323638,-0.21551028410747003,1.1943363975903072,0.3657402026885577,0.4974758491851037
ADPRH,2.980798719103844,-0.31103791572530326,2.559264925933171,1.2000737730033915,1.499097196711329
ADRA1B,-0.9172569039941099,0.5750456609453442,-0.6114917339127495,0.23390639848181433,-0.21386302324486695
ADRA2A,-0.6923151375121318,0.2685067281441867,-1.4421879387161347,0.1503492471756706,-0.4808656306408531
ADRA2C,0.6095366567006529,0.5911678073253573,0.5605239141607701,0.9039726150719916,0.5856532342964105
ADRB1,-0.2995090692616083,-1.448635516410136,-0.9405511810551671,-0.17948937956163682,-0.9096528758208738
ADRB2,-0.330274511623963,-1.7522862949438323,-0.41383082993207515,0.5324108994622895,-0.7884438178024449
