celltype,module,contrast,delta_median,p_MWU,n1,n2,cliffs_delta,FDR_BH
B,IFN_antiviral,NR_vs_R_remission,0.6529593538773955,0.06526806526806528,5,8,0.65,0.22843822843822847
B,TNF_NFkB,NR_remission_vs_recovery,-0.12979542295566854,0.8571428571428571,5,2,-0.2,0.8571428571428571
B,TNF_NFkB,R_remission_vs_recovery,0.004508456185571899,0.9212121212121214,8,3,0.08333333333333333,0.9212121212121213
B,TNF_NFkB,NR_vs_R_remission,-0.3127004508225655,0.3543123543123543,5,8,-0.35,0.73519718921362
B,IL1_IL6,NR_remission_vs_recovery,0.5772101616424606,0.24103244438393945,5,2,0.7,0.843613555343788
B,IL1_IL6,R_remission_vs_recovery,0.3268536789891757,0.3757575757575758,8,3,0.4166666666666667,0.9050505050505052
B,IL1_IL6,NR_vs_R_remission,0.10523832489021172,0.8329448329448329,5,8,0.1,0.9717689717689718
B,TGF_remodeling,NR_remission_vs_recovery,0.15389410464549744,0.5465900424550065,5,2,0.4,0.8571428571428571
B,TGF_remodeling,R_remission_vs_recovery,0.14438601094769976,0.7757575757575759,8,3,0.16666666666666666,0.9050505050505052
B,TGF_remodeling,NR_vs_R_remission,-0.15252362496664532,0.0478252605946407,5,8,-0.7,0.22843822843822847
B,Myeloid_proteolytic,NR_remission_vs_recovery,0.10018294032162223,0.8571428571428571,5,2,0.2,0.8571428571428571
B,Myeloid_proteolytic,R_remission_vs_recovery,0.30445878676510624,0.682408082291516,8,3,0.20833333333333334,0.9050505050505052
B,Myeloid_proteolytic,NR_vs_R_remission,-0.013592244274673995,1.0,5,8,0.0,1.0
B,Chemokine,NR_remission_vs_recovery,-0.04914609186832661,0.8571428571428571,5,2,-0.2,0.8571428571428571
B,Chemokine,R_remission_vs_recovery,-0.06087682098509303,0.7573152357135455,8,3,-0.16666666666666666,0.9050505050505052
B,Chemokine,NR_vs_R_remission,0.13252897089445814,0.42011267955064,5,8,0.3,0.73519718921362
B,VEGF_angiogenic,NR_remission_vs_recovery,-0.8675558256672651,0.13474596713590692,5,2,-0.8,0.843613555343788
