dataset,gene,n_case,n_control,hedges_g,var_g,ci_low,ci_high
GSE210776,2610301B20RIK,4,3,0.6831387857891805,0.630001193398285,-0.8725644585858036,2.2388420301641645
GSE210776,2610318N02RIK,4,3,1.528899143769891,0.8170865925153639,-0.24280056380106818,3.30059885134085
GSE210776,2610507B11RIK,4,3,0.18050660773179428,0.5865915968768174,-1.3206430445554058,1.6816562600189944
GSE210776,2610524H06RIK,4,3,1.9489750026595358,0.9631836894325072,0.02539332741828959,3.872556677900782
GSE210776,2700012I20RIK,4,3,-0.7199554120655094,0.6351669128695752,-2.2820236604079946,0.8421128362769759
GSE210776,2700016F22RIK,4,3,0.4391102902467144,0.6026151180333887,-1.0824041649712,1.9606247454646286
GSE210776,2700038G22RIK,4,3,1.3108912167625226,0.7551769115518461,-0.3923667271254758,3.014149160650521
GSE210776,2700046A07RIK,4,3,0.4272465831220244,0.6015872976122778,-1.0929697707261135,1.9474629369701624
GSE210776,2700046G09RIK,4,3,1.6699636893090575,0.8622112056944051,-0.15000075204567032,3.4899281306637855
GSE210776,2700049A03RIK,4,3,-1.17528110096328,0.7214618999614792,-2.840083802454366,0.48952160052780624
GSE210776,2700062C07RIK,4,3,2.4421688110976385,1.1797521835231386,0.31328741744920663,4.57105020474607
GSE210776,2700081O15RIK,4,3,-2.137961600634122,1.0404213139119352,-4.137182078601495,-0.13874112266674943
GSE210776,2700097O09RIK,4,3,-1.0487709805077956,0.6933253902888616,-2.6807877755603746,0.5832458145447832
GSE210776,2810001G20RIK,4,3,-0.7325067247522931,0.6369899435140666,-2.2968150597692865,0.8318016102647002
GSE210776,2810004N23RIK,4,3,-0.5984344133647046,0.6191457080432492,-2.1406763373244138,0.9438075105950048
GSE210776,2810006K23RIK,4,3,-0.8294445016917622,0.652131151472003,-2.412235401177492,0.7533463977939678
GSE210776,2810021J22RIK,4,3,-0.0943113834934969,0.5842227970389792,-1.5924269655181091,1.4038041985311152
GSE210776,2810029C07RIK,4,3,2.4959894404815537,1.2063296620328754,0.3432618614169165,4.648717019546191
GSE210776,2810032G03RIK,4,3,0.23398444241633504,0.5888082052626217,-1.2699988026156326,1.7379676874483028
GSE210776,2810403A07RIK,4,3,-0.5185560950838677,0.6102233757081963,-2.049645289128619,1.0125330989608838
GSE210776,2810408A11RIK,4,3,1.4537459449331955,0.7946710605743044,-0.2934828169357957,3.200974706802187
GSE210776,2810429I04RIK,4,3,0.37242597005540146,0.597203443650504,-1.142241237329698,1.887093177440501
GSE210776,2810433D01RIK,4,3,1.261058038844772,0.7423600710668357,-0.42768422953437746,2.9498003072239216
GSE210776,2810442N19RIK,4,3,0.09632453587810226,0.5842611749545465,-1.40184025135506,1.5944893231112645
GSE210776,2810459M11RIK,4,3,1.7037665306061265,0.8736153724146971,-0.12819439001098654,3.5357274512232397
GSE210776,2810474O19RIK,4,3,2.021570754194424,0.9920081647547545,0.06941846358749859,3.973723044801349
GSE210776,2900011O08RIK,4,3,-0.5667299204496841,0.6154516136066239,-2.1043641158392137,0.9709042749398455
GSE210776,2900026A02RIK,4,3,-2.090999806905945,1.0205613525814032,-4.071047405343093,-0.11095220846879639
GSE210776,2900060B14RIK,4,3,-2.8205536344842628,1.3788856138335719,-5.122102455192406,-0.5190048137761187
GSE210776,2900076A07RIK,4,3,-0.49139121502137534,0.6074798659533517,-2.0190347117333522,1.0362522816906017
GSE210776,2900089D17RIK,4,3,0.19799753810862977,0.5872536358430412,-1.3039989890027437,1.6999940652200034
GSE210776,2900097C17RIK,4,3,1.1161961441333803,0.7079227165511559,-0.5329114654248681,2.7653037536916285
GSE210776,3010003L21RIK,4,3,-1.3173387440515103,0.7568714699912544,-3.0225066064974344,0.38782911839441403
GSE210776,3110001I22RIK,4,3,0.044669572361514254,0.5835328704028294,-1.4525611630094604,1.5419003077324889
GSE210776,3110002H16RIK,4,3,-1.1959105886343326,0.7263535469341049,-2.8663475931041384,0.47452641583547295
GSE210776,3110009E18RIK,4,3,-0.44176641170411024,0.6028490895843259,-1.9635762101175476,1.080043386709327
GSE210776,3110040N11RIK,4,3,0.5782679321463877,0.6167727134682193,-0.9610156856640244,2.1175515499568
GSE210776,3110043O21RIK,4,3,0.8162509008404838,0.6499598866456235,-0.7639028576709551,2.396404659351923
GSE210776,3110045C21RIK,4,3,-1.0785839024093686,0.6996676567869956,-2.7180482266058186,0.5608804217870813
GSE210776,3110056K07RIK,4,3,-0.5432764840694806,0.6128482671476231,-2.0776551541096726,0.9911021859707114
GSE210776,3110062M04RIK,4,3,-1.477718488757396,0.8016985265348776,-3.232655826537975,0.27721884902318283
GSE210776,3110070M22RIK,4,3,1.2906103255671015,0.7499008345793754,-0.40668724590353733,2.9879078970377404
GSE210776,3110082I17RIK,4,3,-0.9812097239759371,0.6796105855758269,-2.597004273276094,0.6345848253242196
GSE210776,3110083C13RIK,4,3,1.0965133115841719,0.7035674775814621,-0.5475137021467293,2.740540325315073
GSE210776,3222401L13RIK,4,3,-1.4165441434013621,0.7839930643538033,-3.1519944469311323,0.3189061601284078
GSE210776,3300002A11RIK,4,3,0.9105587921784379,0.6662450647346789,-0.6892683987033594,2.5103859830602353
GSE210776,3300002I08RIK,4,3,1.4561819978843151,0.7953799344295689,-0.29182588427887235,3.204189880047503
GSE210776,3632451O06RIK,4,3,0.21547728153909598,0.5879763792192813,-1.2874432281382426,1.7183977912164345
GSE210776,3830403N18RIK,4,3,0.6391314938469257,0.6241822399760336,-0.9093705220032091,2.1876335096970605
GSE210776,3830406C13RIK,4,3,0.009775954723778407,0.5833428902624095,-1.4872110349431567,1.5067629443907133
GSE210776,3830408C21RIK,4,3,0.39968148854672086,0.5993078625620256,-1.1176520558060947,1.9170150328995363
GSE210776,4430402I18RIK,4,3,-0.6912890277561357,0.6311213853229357,-2.2483747395448574,0.8657966840325859
GSE210776,4632404H12RIK,4,3,-0.4757513006166537,0.6059672633371771,-2.001491723767361,1.0499891225340536
GSE210776,4632411P08RIK,4,3,-0.7575244368051443,0.6407176605690285,-2.326403324687182,0.8113544510768936
GSE210776,4632415L05RIK,4,3,-1.149289559517425,0.715419982494909,-2.807106619615566,0.5085275005807157
